timestamp,symbol,event_type,side,qty,price,position,position_id,order_id,status,notes
2026-04-16T17:55:05.000Z,EURUSD,position_closed,BUY,0.32,1.17702,0,7843718,2458825,closed,mt5-history:loss_close
2026-04-16T17:55:14.000Z,EURUSD,position_closed,BUY,0.32,1.17706,0,7843722,2458829,closed,mt5-history:loss_close
2026-04-16T17:55:22.000Z,EURUSD,position_closed,BUY,0.32,1.17702,0,7843724,2458831,closed,mt5-history:loss_close
2026-04-16T17:55:33.000Z,EURUSD,position_closed,BUY,0.32,1.17701,0,7843726,2458833,closed,mt5-history:loss_close
2026-04-16T14:55:48.080Z,EURUSD,order_placed,BUY,0.32,1.17923,0.68,,,submitted,Submitting long entry order
2026-04-16T14:55:48.859Z,EURUSD,position_opened,BUY,0.32,1.17718,1,7843733,2458839,ok,Bias scale-in long entry
2026-04-16T14:55:56.624Z,EURUSD,order_placed,BUY,0.32,1.17923,0.68,,,submitted,Submitting long entry order
2026-04-16T14:55:57.355Z,EURUSD,position_opened,BUY,0.32,1.17716,1,7843735,2458841,ok,Bias scale-in long entry
2026-04-16T14:56:05.082Z,EURUSD,order_placed,BUY,0.32,1.17923,0.68,,,submitted,Submitting long entry order
2026-04-16T14:56:05.863Z,EURUSD,position_opened,BUY,0.32,1.1771,0.68,7843737,2458843,ok,Bias scale-in long entry
2026-04-16T14:56:13.616Z,EURUSD,order_placed,BUY,0.32,1.17923,0.68,,,submitted,Submitting long entry order
2026-04-16T14:56:14.353Z,EURUSD,position_opened,BUY,0.32,1.17709,1,7843739,2458845,ok,Bias scale-in long entry
2026-04-16T17:55:39.000Z,EURUSD,position_closed,BUY,0.32,1.17699,0,7843729,2458836,closed,mt5-history:loss_close
2026-04-16T17:55:51.000Z,EURUSD,position_closed,BUY,0.32,1.17703,0,7843733,2458840,closed,mt5-history:loss_close
2026-04-16T17:56:00.000Z,EURUSD,position_closed,BUY,0.32,1.177,0,7843735,2458842,closed,mt5-history:loss_close
2026-04-16T17:56:05.000Z,EURUSD,position_closed,BUY,0.32,1.17694,0,7843737,2458844,closed,mt5-history:loss_close
2026-04-16T14:57:08.876Z,EURUSD,order_placed,BUY,0.32,1.17923,0.68,,,submitted,Submitting long entry order
2026-04-16T14:57:09.616Z,EURUSD,position_opened,BUY,0.32,1.17703,1,7843747,2458853,ok,Bias scale-in long entry
2026-04-16T17:57:07.000Z,EURUSD,position_closed,BUY,0.32,1.17692,0,7843739,2458852,closed,mt5-history:loss_close
2026-04-16T14:57:48.867Z,EURUSD,order_placed,BUY,0.32,1.17923,0.68,,,submitted,Submitting long entry order
2026-04-16T14:57:49.602Z,EURUSD,position_opened,BUY,0.32,1.17698,1,7843760,2458866,ok,Bias scale-in long entry
2026-04-16T17:57:44.000Z,EURUSD,position_closed,BUY,0.32,1.17687,0,7843747,2458863,closed,mt5-history:loss_close
2026-04-16T20:14:36.000Z,EURUSD,position_closed,BUY,0.32,1.17682,0,7843760,2460103,closed,mt5-history:loss_close
2026-04-16T20:45:00.948Z,EURUSD,order_placed,SELL,0.68,1.17855,0.68,,,submitted,Submitting reversal close order
2026-04-16T20:45:01.214Z,EURUSD,position_closed,SELL,0.68,1.17818,0,,,ok,Closed opposing position for reversal
2026-04-16T20:45:01.472Z,EURUSD,order_placed,SELL,0.32,1.17855,0,,,submitted,Submitting sell order
2026-04-16T20:45:02.196Z,EURUSD,position_opened,SELL,0.32,1.17818,-0.32,7846182,2461249,ok,Initial short entry
2026-04-16T23:45:01.000Z,EURUSD,position_closed,BUY,0.68,1.17818,0,7836012,2461248,closed,mt5-history:loss_close
2026-04-17T00:02:01.000Z,EURUSD,position_reduced,SELL,0.16,1.17808,0.16,7846182,2461396,rejected,mt5-history:partial_close
2026-04-17T01:05:21.513Z,EURUSD,position_modified,SELL,0.16,,0.16,,,tp1_hit,partial_tp_taken|tp1_hit|breakeven_moved
2026-04-17T04:05:21.000Z,EURUSD,position_reduced,SELL,0.08,1.1777,0.08,7846182,2462384,tp1_hit,mt5-history:partial_close
2026-04-17T01:08:56.044Z,EURUSD,position_modified,SELL,0.08,,0.08,,,tp1_hit,trail_stop_advanced
2026-04-17T06:42:55.000Z,EURUSD,position_closed,SELL,0.08,1.17809,0,7846182,2462856,closed,mt5-history:take_profit_or_profit_close
2026-04-20T12:15:51.099Z,XAUUSD,order_placed,SELL,0.41,4790.01,0,,,submitted,Submitting sell order
2026-04-20T12:15:51.843Z,XAUUSD,position_opened,SELL,0.41,4808.2,-0.82,8132562,2476252,ok,Initial short entry
2026-04-20T15:15:55.000Z,XAUUSD,position_closed,SELL,0.41,4808.64,0,8132562,2476254,closed,mt5-history:loss_close
